ID,Category,Skills
43,Data Analyst,"SQL, Power BI, Tableau"
44,Data Analyst,"Python, Statistics, Machine Learning, Pandas, SQL, NLP"
45,Software Engineer,"Spring Boot, REST APIs, Agile, Java"
46,Data Analyst,"Power BI, Tableau, Excel, Reporting"
47,ML Engineer,"MLOps, PyTorch, Cloud, Python, TensorFlow, Computer Vision"
48,ML Engineer,"Cloud, MLOps, Python, Computer Vision, PyTorch, Keras, TensorFlow"
49,Data Analyst,"SQL, Machine Learning, Pandas"
50,Data Analyst,"Machine Learning, Statistics, Python, SQL"
51,Software Engineer,"Spring Boot, Java, Agile"
52,Product Manager,"Scrum, Stakeholder Management, User Stories, Agile, Product Roadmap"
53,Product Manager,"Stakeholder Management, Scrum, User Stories, Product Roadmap"
54,Product Manager,"User Stories, Agile, Product Roadmap, Stakeholder Management, Scrum"
55,Data Analyst,"Python, NLP, Deep Learning"
56,Data Analyst,"Power BI, Excel, Data Cleaning"
57,Data Analyst,"Deep Learning, Python, Pandas"
58,Data Analyst,"SQL, Python, Deep Learning, Machine Learning"
59,Software Engineer,"Docker, Spring Boot, Java, Git"
60,ML Engineer,"Keras, Computer Vision, TensorFlow, PyTorch, Python, Cloud"
61,Data Analyst,"Power BI, Reporting, Data Cleaning, Tableau"
62,Software Engineer,"Agile, Java, Docker"
63,Data Analyst,"Pandas, Statistics, Python, NLP, SQL, Machine Learning"
64,ML Engineer,"Computer Vision, MLOps, Python, TensorFlow, Keras, Cloud"
65,ML Engineer,"Python, Keras, PyTorch"
66,Data Analyst,"SQL, Tableau, Data Cleaning"
67,Data Analyst,"Pandas, Machine Learning, Deep Learning, Statistics, SQL, NLP"
68,Software Engineer,"System Design, Spring Boot, REST APIs, Docker, Agile, Git, Java"
69,Data Analyst,"Machine Learning, SQL, NLP, Statistics"
70,Software Engineer,"Spring Boot, System Design, Java, Agile"
71,Software Engineer,"Agile, Docker, Git"
72,Product Manager,"Product Roadmap, User Stories, Scrum, Stakeholder Management, Agile"
73,ML Engineer,"Cloud, Python, TensorFlow, Computer Vision, PyTorch, Keras, MLOps"
74,Product Manager,"Agile, User Stories, Scrum, Product Roadmap"
75,Data Analyst,"Data Cleaning, Tableau, Power BI, Reporting, Excel, SQL"
76,ML Engineer,"TensorFlow, Keras, MLOps, Python, Cloud"
77,Data Analyst,"SQL, Reporting, Excel, Tableau"
78,Product Manager,"Agile, Product Roadmap, Stakeholder Management"
79,Data Analyst,"Power BI, Reporting, SQL, Excel, Tableau, Data Cleaning"
80,Software Engineer,"Git, System Design, Agile, Docker"
81,ML Engineer,"TensorFlow, Computer Vision, Python, Keras, Cloud, PyTorch"
82,Product Manager,"Stakeholder Management, Scrum, Agile"
83,Product Manager,"User Stories, Agile, Scrum"
84,Product Manager,"Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap"
85,Software Engineer,"Agile, Git, REST APIs"
86,Data Analyst,"NLP, Statistics, SQL, Python, Machine Learning"
87,Data Analyst,"Statistics, NLP, SQL, Python, Pandas, Deep Learning"
88,Data Analyst,"Excel, SQL, Power BI, Tableau, Data Cleaning"
89,ML Engineer,"TensorFlow, Cloud, Keras, Computer Vision, PyTorch, Python"
90,Data Analyst,"SQL, Tableau, Power BI"
91,Software Engineer,"Docker, System Design, REST APIs, Git, Agile, Spring Boot, Java"
92,Software Engineer,"Spring Boot, Java, Agile, REST APIs"
93,Data Analyst,"SQL, Statistics, Python, Deep Learning, Pandas, NLP, Machine Learning"
94,Product Manager,"User Stories, Agile, Product Roadmap"
95,Data Analyst,"Power BI, Data Cleaning, Excel, Reporting, SQL, Tableau"
96,Data Analyst,"Statistics, Python, Pandas, SQL"
97,Software Engineer,"System Design, Java, Agile, Spring Boot, Docker"
98,Data Analyst,"Pandas, SQL, Machine Learning, NLP"
99,Data Analyst,"Deep Learning, Statistics, Python, SQL"
100,Data Analyst,"SQL, Machine Learning, Deep Learning, Python, Pandas, Statistics"
101,ML Engineer,"Computer Vision, MLOps, Python, Cloud, TensorFlow, PyTorch, Keras"
102,Software Engineer,"System Design, Docker, Spring Boot, Git, Java, REST APIs, Agile"
103,Software Engineer,"Java, REST APIs, Spring Boot, Agile, Docker"
104,ML Engineer,"Python, TensorFlow, Cloud"
105,ML Engineer,"MLOps, Computer Vision, TensorFlow, Cloud"
106,ML Engineer,"Cloud, Keras, PyTorch, Python"
107,Software Engineer,"Java, REST APIs, Spring Boot, Git, System Design"
108,ML Engineer,"Cloud, PyTorch, Python"
109,Data Analyst,"Data Cleaning, Reporting, Tableau, SQL, Excel"
110,Software Engineer,"Spring Boot, System Design, Java, Agile"
111,ML Engineer,"Cloud, TensorFlow, Keras, MLOps, Python"
112,ML Engineer,"PyTorch, Keras, Cloud, TensorFlow"
113,Software Engineer,"Java, Agile, REST APIs, System Design, Git, Docker"
114,ML Engineer,"Python, Cloud, PyTorch, Computer Vision"
115,Data Analyst,"Machine Learning, Statistics, NLP, Deep Learning, Python, SQL"
116,ML Engineer,"Python, Keras, PyTorch, MLOps, TensorFlow, Computer Vision, Cloud"
117,Software Engineer,"System Design, Agile, Spring Boot, Docker"
118,Product Manager,"Stakeholder Management, Agile, Product Roadmap"
119,Data Analyst,"Deep Learning, Machine Learning, Statistics"
120,Software Engineer,"Docker, System Design, Agile"
121,ML Engineer,"PyTorch, Cloud, Keras, Computer Vision"
122,Product Manager,"User Stories, Scrum, Agile, Product Roadmap"
123,Data Analyst,"SQL, Reporting, Tableau, Data Cleaning"
124,Product Manager,"User Stories, Agile, Product Roadmap"
125,Software Engineer,"Docker, System Design, Java, Spring Boot, Agile"
126,Data Analyst,"SQL, Power BI, Excel, Tableau, Reporting, Data Cleaning"
127,Data Analyst,"Deep Learning, SQL, Pandas, Statistics"
128,Data Analyst,"SQL, Reporting, Excel, Power BI, Tableau, Data Cleaning"
129,ML Engineer,"MLOps, PyTorch, Python, Keras, TensorFlow, Cloud"
130,ML Engineer,"MLOps, Cloud, Keras, Python"
131,ML Engineer,"MLOps, PyTorch, Cloud, Computer Vision, Keras, Python, TensorFlow"
132,Data Analyst,"Machine Learning, Pandas, Deep Learning, Python"
133,ML Engineer,"PyTorch, Computer Vision, TensorFlow, MLOps, Cloud"
134,Data Analyst,"Tableau, Reporting, Power BI, SQL, Data Cleaning, Excel"
135,Product Manager,"User Stories, Agile, Product Roadmap"
136,Product Manager,"Product Roadmap, User Stories, Scrum"
137,Data Analyst,"SQL, Reporting, Power BI, Data Cleaning"
138,Data Analyst,"Pandas, Statistics, NLP, Python, Machine Learning, SQL"
139,Data Analyst,"Data Cleaning, Power BI, SQL, Tableau, Excel"
140,Software Engineer,"Java, Git, System Design, Spring Boot, Docker, Agile"
141,Product Manager,"Product Roadmap, Agile, Scrum, User Stories"
142,Product Manager,"Scrum, Product Roadmap, User Stories, Stakeholder Management"
143,Data Analyst,"SQL, NLP, Pandas"
144,Product Manager,"Agile, Stakeholder Management, Product Roadmap, Scrum, User Stories"
145,ML Engineer,"TensorFlow, MLOps, Python, Computer Vision"
146,Data Analyst,"Tableau, Power BI, Excel, SQL, Reporting, Data Cleaning"
147,Product Manager,"User Stories, Stakeholder Management, Scrum"
148,Data Analyst,"Data Cleaning, Reporting, Power BI, Excel, Tableau"
149,Data Analyst,"NLP, Deep Learning, Machine Learning, SQL"
150,ML Engineer,"Cloud, Computer Vision, TensorFlow"
151,Data Analyst,"Power BI, Data Cleaning, Excel, Tableau"
152,Data Analyst,"Python, NLP, Deep Learning, SQL"
153,Data Analyst,"Excel, SQL, Reporting, Power BI, Tableau"
154,Software Engineer,"Agile, Docker, System Design, Spring Boot"
155,Data Analyst,"Tableau, SQL, Data Cleaning, Excel, Reporting, Power BI"
156,Data Analyst,"Machine Learning, Statistics, Python, Pandas"
157,Data Analyst,"Deep Learning, Python, Machine Learning, SQL, Statistics, NLP, Pandas"
158,ML Engineer,"PyTorch, MLOps, Computer Vision"
159,Data Analyst,"Statistics, Machine Learning, NLP"
160,Data Analyst,"Reporting, Excel, Power BI"
161,Data Analyst,"SQL, Deep Learning, Pandas, Python, NLP"
162,ML Engineer,"Keras, Computer Vision, PyTorch, MLOps, Python, TensorFlow, Cloud"
163,Data Analyst,"SQL, Statistics, Python, NLP, Machine Learning, Deep Learning"
164,Software Engineer,"Agile, REST APIs, Git, Spring Boot, Java, System Design"
165,Product Manager,"Product Roadmap, Agile, Stakeholder Management"
166,Data Analyst,"Statistics, Deep Learning, Python, SQL, NLP, Pandas, Machine Learning"
167,Product Manager,"Agile, Scrum, Stakeholder Management"
168,Data Analyst,"Reporting, Power BI, SQL"
169,Data Analyst,"Pandas, Machine Learning, SQL"
170,ML Engineer,"MLOps, TensorFlow, PyTorch, Computer Vision, Keras"
171,Product Manager,"User Stories, Agile, Product Roadmap, Stakeholder Management"
172,ML Engineer,"Computer Vision, PyTorch, MLOps, Cloud, Keras"
173,Software Engineer,"Git, Spring Boot, System Design, Docker"
174,Data Analyst,"Data Cleaning, Tableau, Reporting, Excel, Power BI"
175,Product Manager,"Scrum, Stakeholder Management, Agile"
176,ML Engineer,"Cloud, Keras, MLOps, Python, TensorFlow"
177,Data Analyst,"Data Cleaning, Excel, Tableau, Power BI"
178,ML Engineer,"Python, TensorFlow, Computer Vision, Cloud, PyTorch, Keras, MLOps"
179,Product Manager,"Agile, Product Roadmap, User Stories"
180,Data Analyst,"Machine Learning, SQL, Statistics, Python, NLP, Deep Learning, Pandas"
181,Data Analyst,"Statistics, Pandas, SQL"
182,Software Engineer,"REST APIs, System Design, Agile, Git"
183,Software Engineer,"Java, Git, Docker, Agile, REST APIs, System Design"
184,Software Engineer,"Agile, Docker, Git"
185,Data Analyst,"Machine Learning, Pandas, NLP, Deep Learning, SQL"
186,Data Analyst,"Power BI, Reporting, Excel, Tableau"
187,Product Manager,"Scrum, Stakeholder Management, User Stories"
188,Data Analyst,"SQL, Power BI, Data Cleaning, Excel, Tableau, Reporting"
189,Product Manager,"User Stories, Product Roadmap, Agile"
190,Software Engineer,"Java, Spring Boot, Git"
191,Software Engineer,"System Design, Spring Boot, Agile, Git, REST APIs, Java, Docker"
192,Software Engineer,"Agile, Java, Git"
193,Data Analyst,"Excel, Power BI, SQL"
194,Product Manager,"User Stories, Scrum, Product Roadmap"
195,Data Analyst,"Excel, SQL, Reporting"
196,Data Analyst,"NLP, Machine Learning, SQL, Deep Learning"
197,Software Engineer,"Docker, System Design, Spring Boot, Java, Agile"
198,Data Analyst,"Power BI, Tableau, Excel"
199,Data Analyst,"Power BI, SQL, Reporting"
200,Data Analyst,"Excel, Power BI, Reporting, Tableau"
201,Data Analyst,"Reporting, Power BI, Tableau, Excel, SQL, Data Cleaning"
202,Product Manager,"User Stories, Agile, Product Roadmap, Stakeholder Management, Scrum"
203,Product Manager,"Stakeholder Management, Product Roadmap, User Stories, Scrum, Agile"
204,Data Analyst,"Power BI, Excel, Data Cleaning, Reporting, Tableau"
205,Software Engineer,"System Design, Java, Docker, REST APIs, Spring Boot"
206,Data Analyst,"SQL, Data Cleaning, Reporting, Tableau, Power BI"
207,ML Engineer,"Keras, PyTorch, MLOps"
208,Product Manager,"Stakeholder Management, Product Roadmap, Agile, User Stories, Scrum"
209,Data Analyst,"Machine Learning, Statistics, Pandas, SQL, NLP, Python, Deep Learning"
210,Data Analyst,"Statistics, Deep Learning, SQL, Pandas, NLP, Machine Learning"
211,Data Analyst,"Excel, Tableau, Data Cleaning"
212,Data Analyst,"Statistics, Pandas, SQL, Python, Machine Learning, NLP, Deep Learning"
213,Product Manager,"Agile, Stakeholder Management, Scrum"
214,ML Engineer,"MLOps, Python, TensorFlow"
215,ML Engineer,"MLOps, Computer Vision, Keras, TensorFlow"
216,Product Manager,"Product Roadmap, User Stories, Agile, Scrum"
217,Software Engineer,"Spring Boot, System Design, Agile, Java, Docker"
218,Data Analyst,"NLP, Machine Learning, SQL, Python, Statistics, Deep Learning"
219,Software Engineer,"Agile, Java, System Design, Git, Spring Boot"
220,Data Analyst,"Deep Learning, Python, Machine Learning, NLP"
221,Software Engineer,"Agile, Docker, System Design, Java, Spring Boot, REST APIs"
222,Data Analyst,"Python, Statistics, NLP, Deep Learning, SQL"
223,Data Analyst,"Power BI, SQL, Reporting, Excel, Tableau, Data Cleaning"
224,Software Engineer,"Spring Boot, REST APIs, Docker, Java, Agile"
225,Product Manager,"User Stories, Scrum, Stakeholder Management"
226,Software Engineer,"Agile, REST APIs, Git, Docker"
227,Data Analyst,"NLP, Pandas, SQL, Deep Learning"
228,ML Engineer,"Python, Keras, TensorFlow, Computer Vision"
229,Software Engineer,"Git, REST APIs, Java, Docker, Agile"
230,Data Analyst,"Pandas, NLP, Python"
231,Data Analyst,"SQL, NLP, Pandas, Python, Deep Learning, Statistics, Machine Learning"
232,ML Engineer,"Keras, TensorFlow, Cloud"
233,ML Engineer,"Keras, PyTorch, TensorFlow"
234,Data Analyst,"Statistics, NLP, Deep Learning, Python, Machine Learning, Pandas, SQL"
235,Data Analyst,"NLP, SQL, Statistics"
236,ML Engineer,"TensorFlow, MLOps, PyTorch, Keras, Cloud, Computer Vision, Python"
237,Data Analyst,"Tableau, SQL, Excel, Data Cleaning"
238,ML Engineer,"Computer Vision, TensorFlow, Python, Cloud, MLOps, Keras, PyTorch"
239,ML Engineer,"PyTorch, Keras, Cloud, Computer Vision, Python, TensorFlow"
240,Software Engineer,"REST APIs, Docker, Git, Spring Boot, System Design, Agile, Java"
241,ML Engineer,"TensorFlow, Keras, Python, MLOps"
242,Product Manager,"User Stories, Scrum, Product Roadmap, Stakeholder Management"
243,ML Engineer,"TensorFlow, Cloud, Computer Vision, PyTorch, Python, MLOps, Keras"
244,Product Manager,"Scrum, Stakeholder Management, Product Roadmap, Agile, User Stories"
245,Software Engineer,"Agile, System Design, Spring Boot, Git, REST APIs"
246,Product Manager,"Product Roadmap, Scrum, Agile"
247,ML Engineer,"TensorFlow, Keras, Python, MLOps, PyTorch, Computer Vision, Cloud"
248,Software Engineer,"Spring Boot, Agile, System Design, Docker, REST APIs"
249,Product Manager,"Agile, Stakeholder Management, Product Roadmap"
250,Data Analyst,"Tableau, Power BI, Excel, Reporting"
251,Product Manager,"Scrum, User Stories, Agile, Product Roadmap, Stakeholder Management"
252,Data Analyst,"Python, Deep Learning, Statistics, SQL"
253,Data Analyst,"Excel, Data Cleaning, Tableau, Reporting, SQL"
254,Software Engineer,"Agile, Spring Boot, Git, Java"
255,Data Analyst,"Excel, SQL, Reporting, Tableau, Data Cleaning"
256,Product Manager,"Stakeholder Management, Product Roadmap, Scrum, Agile, User Stories"
257,ML Engineer,"TensorFlow, Computer Vision, MLOps, Python, Keras, Cloud"
258,Data Analyst,"Data Cleaning, Power BI, Reporting, Excel, Tableau, SQL"
259,Data Analyst,"Data Cleaning, Excel, Tableau, Reporting"
260,Data Analyst,"Statistics, Deep Learning, Python, Pandas"
261,Data Analyst,"Deep Learning, Python, SQL, NLP, Machine Learning, Pandas, Statistics"
262,Data Analyst,"SQL, Python, Deep Learning, Machine Learning, Statistics, NLP, Pandas"
263,Data Analyst,"Machine Learning, Pandas, Deep Learning"
264,Data Analyst,"Reporting, Power BI, Data Cleaning, SQL"
265,Software Engineer,"Agile, Java, Spring Boot, Docker, Git"
266,Data Analyst,"Data Cleaning, Excel, Reporting, SQL, Tableau"
267,Product Manager,"User Stories, Scrum, Stakeholder Management, Product Roadmap, Agile"
268,Product Manager,"Stakeholder Management, Agile, User Stories, Scrum, Product Roadmap"
269,Product Manager,"Agile, Scrum, Stakeholder Management, Product Roadmap, User Stories"
270,Data Analyst,"Statistics, Deep Learning, NLP, Machine Learning"
271,ML Engineer,"Cloud, Computer Vision, MLOps, Keras, Python"
272,Software Engineer,"Java, System Design, Agile, Spring Boot, Git, Docker"
273,ML Engineer,"Python, Cloud, MLOps, Computer Vision"
274,ML Engineer,"MLOps, PyTorch, Computer Vision, TensorFlow"
275,Software Engineer,"Java, REST APIs, Agile"
276,ML Engineer,"PyTorch, TensorFlow, MLOps, Computer Vision, Keras, Python"
277,Data Analyst,"Statistics, SQL, NLP, Python, Machine Learning, Deep Learning, Pandas"
278,Data Analyst,"Data Cleaning, SQL, Power BI"
279,ML Engineer,"Computer Vision, MLOps, Cloud, TensorFlow"
280,Product Manager,"User Stories, Scrum, Stakeholder Management, Product Roadmap, Agile"
281,Data Analyst,"Power BI, SQL, Data Cleaning"
282,ML Engineer,"MLOps, Python, TensorFlow, Computer Vision, PyTorch, Cloud, Keras"
283,Software Engineer,"Java, Spring Boot, Git, REST APIs, Agile, Docker"
284,Product Manager,"Scrum, Agile, Stakeholder Management, User Stories"
285,Product Manager,"Scrum, Agile, Stakeholder Management"
286,Data Analyst,"Power BI, Reporting, Excel, SQL, Data Cleaning, Tableau"
287,Data Analyst,"Python, SQL, NLP, Deep Learning"
288,Data Analyst,"Machine Learning, Deep Learning, NLP, Pandas, Python"
289,ML Engineer,"TensorFlow, Python, MLOps, Keras"
290,ML Engineer,"MLOps, TensorFlow, Cloud"
291,ML Engineer,"Keras, Python, PyTorch, TensorFlow"
292,Product Manager,"Scrum, Stakeholder Management, Agile, User Stories, Product Roadmap"
293,Data Analyst,"Machine Learning, Deep Learning, Python, NLP"
294,Product Manager,"Stakeholder Management, User Stories, Scrum, Agile, Product Roadmap"
295,Data Analyst,"Power BI, Tableau, SQL, Excel, Reporting, Data Cleaning"
296,Data Analyst,"Reporting, Tableau, SQL, Data Cleaning"
297,ML Engineer,"MLOps, TensorFlow, Cloud, Python, Keras, Computer Vision"
298,ML Engineer,"Cloud, TensorFlow, Computer Vision, PyTorch, Keras, MLOps, Python"
299,Data Analyst,"Tableau, Power BI, Reporting, Excel, Data Cleaning"
300,Software Engineer,"Spring Boot, REST APIs, Git, Docker, System Design"
301,Software Engineer,"Docker, Agile, REST APIs, Spring Boot"
302,Software Engineer,"Agile, REST APIs, Git, System Design, Java, Docker"
303,Data Analyst,"Python, SQL, Statistics, Pandas, Machine Learning, Deep Learning"
304,Product Manager,"User Stories, Scrum, Product Roadmap, Stakeholder Management"
305,Software Engineer,"System Design, Git, Java, Spring Boot, Agile"
306,ML Engineer,"MLOps, TensorFlow, Cloud, Keras"
307,Software Engineer,"System Design, Agile, Docker"
308,Data Analyst,"Excel, Power BI, Tableau, SQL, Reporting, Data Cleaning"
309,ML Engineer,"PyTorch, Python, Computer Vision"
310,Data Analyst,"Data Cleaning, Reporting, Tableau, Power BI, Excel"
311,Data Analyst,"NLP, Pandas, Python, Deep Learning, SQL, Statistics"
312,ML Engineer,"Keras, MLOps, PyTorch"
313,Product Manager,"Scrum, Stakeholder Management, User Stories, Product Roadmap"
314,Software Engineer,"Docker, REST APIs, Git, Spring Boot"
315,Data Analyst,"NLP, SQL, Python, Pandas"
316,Data Analyst,"SQL, NLP, Pandas, Deep Learning, Python"
317,Product Manager,"Scrum, Stakeholder Management, Product Roadmap, Agile"
318,ML Engineer,"Python, PyTorch, Keras, MLOps, TensorFlow"
319,ML Engineer,"Cloud, MLOps, PyTorch, Python, TensorFlow, Computer Vision"
320,Product Manager,"Product Roadmap, User Stories, Scrum"
321,Data Analyst,"Deep Learning, SQL, Python, Statistics, Machine Learning, Pandas"
322,Software Engineer,"REST APIs, Git, System Design, Docker, Java, Spring Boot"
323,Data Analyst,"Machine Learning, Python, Pandas, SQL, NLP, Statistics"
324,Data Analyst,"Reporting, Data Cleaning, Excel, SQL, Tableau, Power BI"
325,Data Analyst,"Excel, SQL, Reporting, Data Cleaning"
326,Product Manager,"User Stories, Product Roadmap, Stakeholder Management, Scrum"
327,Data Analyst,"Statistics, Deep Learning, Pandas, SQL, NLP, Python, Machine Learning"
328,Data Analyst,"Machine Learning, Deep Learning, Pandas, Statistics, NLP, SQL, Python"
329,Software Engineer,"Docker, REST APIs, Agile"
330,ML Engineer,"Cloud, MLOps, TensorFlow, PyTorch, Keras, Python"
331,Product Manager,"Agile, Scrum, User Stories"
332,Data Analyst,"Data Cleaning, Reporting, Tableau, Power BI, Excel"
333,Software Engineer,"Spring Boot, REST APIs, Git"
334,Data Analyst,"Python, NLP, Pandas"
335,Data Analyst,"Tableau, SQL, Excel, Reporting, Power BI"
336,Product Manager,"Agile, Product Roadmap, Stakeholder Management"
337,Data Analyst,"Power BI, Tableau, Reporting, Data Cleaning"
338,ML Engineer,"Keras, MLOps, Computer Vision"
339,Data Analyst,"Machine Learning, Statistics, Python, NLP"
340,Data Analyst,"SQL, Deep Learning, Machine Learning, Python, Statistics"
341,Data Analyst,"NLP, Deep Learning, Statistics, Machine Learning"
342,Software Engineer,"REST APIs, Spring Boot, Docker, Git, Java, System Design"
343,ML Engineer,"Cloud, Python, MLOps, Keras"
344,ML Engineer,"Cloud, PyTorch, Python, Computer Vision, MLOps"
345,Data Analyst,"Deep Learning, Statistics, Pandas"
346,Data Analyst,"SQL, NLP, Statistics, Pandas, Python"
347,ML Engineer,"PyTorch, TensorFlow, Computer Vision, Keras, Python, Cloud"
348,Product Manager,"Agile, Product Roadmap, Scrum"
349,Data Analyst,"Excel, Data Cleaning, Power BI, SQL, Reporting"
350,Data Analyst,"SQL, NLP, Deep Learning, Statistics, Machine Learning, Python, Pandas"
351,Data Analyst,"Excel, Power BI, Tableau"
352,ML Engineer,"Computer Vision, Keras, Cloud, PyTorch, Python, TensorFlow"
353,Data Analyst,"Power BI, Data Cleaning, Reporting, Tableau, Excel"
354,Software Engineer,"Agile, System Design, REST APIs"
355,Data Analyst,"Pandas, Deep Learning, NLP, SQL, Statistics, Python, Machine Learning"
356,Software Engineer,"Git, Spring Boot, Java, Agile, REST APIs, Docker"
357,Software Engineer,"Spring Boot, Java, REST APIs, Git, Docker, System Design, Agile"
358,Software Engineer,"Agile, Java, Git, Docker, REST APIs, System Design"
359,Data Analyst,"Data Cleaning, SQL, Power BI, Tableau, Excel"
360,Data Analyst,"Data Cleaning, Reporting, Power BI, Tableau"
361,Software Engineer,"Docker, REST APIs, Agile, Spring Boot, System Design, Git"
362,ML Engineer,"Keras, Computer Vision, PyTorch, Python, Cloud, TensorFlow, MLOps"
363,Data Analyst,"Tableau, Data Cleaning, Reporting, Power BI, Excel, SQL"
364,Product Manager,"Product Roadmap, Scrum, Stakeholder Management, Agile, User Stories"
365,Data Analyst,"Excel, Tableau, Power BI, Data Cleaning, Reporting"
366,Data Analyst,"Python, Statistics, Machine Learning, SQL, NLP, Pandas, Deep Learning"
367,Data Analyst,"Reporting, Data Cleaning, SQL, Tableau, Power BI"
368,Data Analyst,"Data Cleaning, Reporting, Excel, Tableau, Power BI"
369,Product Manager,"Stakeholder Management, Scrum, Agile, User Stories"
370,Software Engineer,"Docker, Agile, Spring Boot, Java, REST APIs, Git"
371,Product Manager,"Product Roadmap, Scrum, Stakeholder Management"
372,Data Analyst,"Power BI, SQL, Tableau, Reporting"
373,ML Engineer,"MLOps, TensorFlow, PyTorch, Cloud"
374,Data Analyst,"SQL, Statistics, NLP"
375,Data Analyst,"Tableau, Data Cleaning, Power BI, Reporting"
376,Data Analyst,"Excel, Power BI, SQL, Data Cleaning, Tableau, Reporting"
377,Software Engineer,"Agile, Spring Boot, REST APIs, Docker"
378,Software Engineer,"Docker, System Design, Git, REST APIs, Java, Spring Boot"
379,Data Analyst,"Statistics, Deep Learning, SQL, Machine Learning, Pandas, Python"
380,ML Engineer,"Computer Vision, TensorFlow, MLOps, Keras, PyTorch, Python, Cloud"
381,Software Engineer,"Java, Spring Boot, System Design"
382,Data Analyst,"Reporting, Excel, Data Cleaning, Tableau"
383,Data Analyst,"NLP, Deep Learning, Pandas, Python"
384,ML Engineer,"Python, Keras, MLOps"
385,ML Engineer,"MLOps, Keras, Cloud"
386,Product Manager,"Stakeholder Management, User Stories, Scrum, Agile"
387,Data Analyst,"SQL, Machine Learning, Deep Learning, Python, Statistics"
388,Data Analyst,"Pandas, Python, Statistics, NLP, SQL"
389,Data Analyst,"Statistics, Deep Learning, Machine Learning, Pandas, NLP, Python"
390,Product Manager,"User Stories, Scrum, Product Roadmap"
391,Data Analyst,"SQL, Pandas, Deep Learning, NLP, Python, Machine Learning, Statistics"
392,Data Analyst,"NLP, Statistics, Pandas"
393,Data Analyst,"Tableau, Power BI, Data Cleaning, SQL, Excel"
394,ML Engineer,"MLOps, TensorFlow, PyTorch, Cloud, Python, Computer Vision"
395,Software Engineer,"Docker, Git, Agile, System Design"
396,Product Manager,"User Stories, Scrum, Product Roadmap"
397,Data Analyst,"Reporting, SQL, Power BI, Excel, Data Cleaning, Tableau"
398,Data Analyst,"Python, Pandas, NLP, Deep Learning, SQL"
399,Data Analyst,"SQL, Python, Statistics, NLP, Deep Learning, Machine Learning"
