ID,Skills
101,"PyTorch, Python, Keras, Computer Vision, TensorFlow, MLOps"
102,"Java, Docker"
103,"Git, REST APIs, System Design, Docker, Java"
104,"PyTorch, Keras, Python, TensorFlow, Cloud"
105,"PyTorch, Keras, MLOps, Python, TensorFlow, Computer Vision"
106,"Cloud, MLOps"
107,"Java, Git, Agile"
108,"Cloud, Keras, PyTorch, TensorFlow, Computer Vision, MLOps"
109,"Power BI, Data Cleaning, Reporting, Excel, Tableau, SQL"
110,"Docker, System Design"
111,"Computer Vision"
112,"MLOps, Keras"
113,"System Design, REST APIs, Java, Spring Boot, Docker"
114,"PyTorch, Cloud"
115,"Statistics, Deep Learning, Machine Learning"
116,"MLOps, Computer Vision, TensorFlow"
117,"System Design, Spring Boot"
118,"Product Roadmap, Scrum"
119,"SQL, Statistics, Machine Learning, Python"
120,"Spring Boot, Git, Java, Docker, REST APIs, System Design"
121,"PyTorch, Computer Vision, Python, MLOps, Cloud"
122,"User Stories, Agile, Stakeholder Management"
123,"Tableau, SQL, Data Cleaning, Reporting, Excel"
124,"Stakeholder Management, Agile"
125,"Agile, REST APIs, System Design, Spring Boot, Git"
126,"Excel, Reporting, SQL, Power BI, Data Cleaning, Tableau"
127,"SQL, NLP, Pandas"
128,"Data Cleaning, Reporting, Power BI"
129,"MLOps, Keras, Computer Vision, Python"
130,"Keras, MLOps, TensorFlow"
131,"Computer Vision, MLOps, Keras, Cloud"
132,"Machine Learning, Pandas"
133,"PyTorch, Computer Vision, Cloud, TensorFlow"
134,"Reporting, Tableau, SQL"
135,"Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
136,"Product Roadmap, User Stories, Stakeholder Management, Scrum"
137,"Data Cleaning, Reporting, Excel"
138,"Deep Learning, SQL, Pandas, Statistics"
139,"Excel, Power BI, Tableau, Data Cleaning, Reporting, SQL"
140,"Agile, Spring Boot"
141,"Agile, User Stories, Stakeholder Management, Product Roadmap, Scrum"
142,"Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap"
143,"Machine Learning, NLP, Statistics, Deep Learning"
144,"Scrum, User Stories, Product Roadmap"
145,"TensorFlow, Computer Vision"
146,"Power BI, Data Cleaning"
147,"Scrum, Stakeholder Management, Agile"
148,"SQL, Tableau, Excel"
149,"Pandas, NLP, SQL"
150,"Keras, Computer Vision"
151,"Excel, Reporting, Power BI, Data Cleaning, Tableau"
152,"Statistics, SQL"
153,"Excel, Data Cleaning, Tableau, SQL, Power BI, Reporting"
154,"Git, REST APIs, Spring Boot"
155,"Reporting, Power BI"
156,"SQL, Deep Learning"
157,"Machine Learning, NLP, Pandas, Python"
158,"TensorFlow, PyTorch"
159,"Python, NLP, SQL, Pandas, Statistics"
160,"Excel, Power BI, SQL, Data Cleaning, Reporting, Tableau"
161,"Python, Statistics, SQL, NLP, Pandas"
162,"Cloud, Keras, Computer Vision, Python"
163,"Deep Learning"
164,"System Design, Spring Boot, REST APIs, Agile, Docker"
165,"Stakeholder Management"
166,"Deep Learning, Machine Learning, SQL, NLP"
167,"Product Roadmap, Stakeholder Management, Scrum, User Stories, Agile"
168,"Data Cleaning, Excel, SQL"
169,"Python, Machine Learning, Deep Learning, Statistics, SQL"
170,"Computer Vision, PyTorch, Keras, Python"
171,"Stakeholder Management, Product Roadmap, Scrum, Agile"
172,"Cloud, PyTorch"
173,"Docker, Agile, Java, System Design"
174,"Power BI, Data Cleaning, Reporting"
175,"Stakeholder Management, Scrum, Agile, Product Roadmap"
176,"Cloud, PyTorch, Keras, MLOps"
177,"Reporting, Excel, Power BI, SQL"
178,"Keras, PyTorch, MLOps, Python, TensorFlow, Computer Vision, Cloud"
179,"Scrum, User Stories"
180,"SQL, Python, NLP, Statistics, Pandas"
181,"Statistics, Machine Learning, Python"
182,"Java, REST APIs, Agile, Git, System Design"
183,"Git, Agile, System Design"
184,"Java, Git, Agile, System Design, REST APIs"
185,"SQL, NLP, Machine Learning, Deep Learning"
186,"Tableau, SQL"
187,"Agile, Scrum, Product Roadmap, User Stories, Stakeholder Management"
188,"Tableau, SQL, Reporting, Excel"
189,"Product Roadmap, User Stories, Stakeholder Management, Scrum, Agile"
190,"Spring Boot, Agile, Docker"
191,"Git, Docker, System Design"
192,"System Design, Java, Docker, REST APIs, Spring Boot"
193,"Excel, SQL, Data Cleaning, Power BI"
194,"Stakeholder Management, Product Roadmap, Scrum"
195,"Data Cleaning, Excel, Power BI, Reporting, SQL"
196,"Pandas, SQL, Python, NLP"
197,"System Design, Java, Spring Boot"
198,"Power BI, Excel, Reporting, Data Cleaning, Tableau"
199,"SQL, Tableau, Excel, Reporting"
200,"Excel, Data Cleaning, Reporting"
201,"Reporting, Power BI, SQL, Data Cleaning, Tableau"
202,"Stakeholder Management, Scrum, User Stories, Agile, Product Roadmap"
203,"User Stories, Product Roadmap"
204,"Power BI, Excel, Reporting, SQL, Data Cleaning, Tableau"
205,"Java, REST APIs, Spring Boot"
206,"Tableau, Reporting, Excel, SQL, Data Cleaning"
207,"Keras, PyTorch, Cloud"
208,"Agile, Stakeholder Management"
209,"SQL, Statistics, Deep Learning, Machine Learning, Python"
210,"Python"
211,"Reporting, Data Cleaning, Power BI, SQL"
212,"Statistics, Pandas, SQL"
213,"User Stories, Scrum, Agile"
214,"Python, Cloud, MLOps"
215,"Computer Vision, MLOps, Keras"
216,"Product Roadmap, Stakeholder Management, Agile, User Stories"
217,"System Design, Git, REST APIs, Docker, Agile"
218,"Python, Machine Learning, Statistics"
219,"System Design, Java, REST APIs"
220,"Statistics, Deep Learning, Machine Learning"
221,"Agile"
222,"Python, Pandas, NLP, Deep Learning, Statistics"
223,"Excel, Data Cleaning, Tableau, SQL, Reporting"
224,"Docker, Agile, Git, System Design, Spring Boot"
225,"Agile, User Stories, Stakeholder Management, Scrum"
226,"Agile, REST APIs, Git"
227,"NLP, Python, Machine Learning, Pandas, Statistics"
228,"TensorFlow, Cloud, Python, Computer Vision"
229,"Java, REST APIs, Agile"
230,"SQL, NLP, Machine Learning"
231,"Deep Learning, Statistics, Pandas"
232,"TensorFlow, Cloud, Computer Vision, PyTorch"
233,"Computer Vision, Cloud, Keras, TensorFlow, PyTorch"
234,"SQL"
235,"Statistics, NLP"
236,"Cloud, MLOps, Computer Vision"
237,"Excel, SQL, Tableau"
238,"MLOps, PyTorch, Computer Vision, TensorFlow"
239,"MLOps, Computer Vision, Keras, Python"
240,"Java, System Design, Git"
241,"TensorFlow, PyTorch, Computer Vision, MLOps, Python"
242,"Scrum, User Stories, Stakeholder Management, Agile, Product Roadmap"
243,"Cloud, Keras, Computer Vision"
244,"Scrum, Stakeholder Management, User Stories"
245,"Git, Agile, System Design, Java"
246,"User Stories, Scrum, Stakeholder Management, Product Roadmap"
247,"TensorFlow, Cloud"
248,"Git, System Design, REST APIs, Docker, Java, Agile"
249,"Scrum, Stakeholder Management, Product Roadmap"
250,"Power BI, SQL, Tableau, Reporting"
251,"Scrum, Stakeholder Management, User Stories"
252,"SQL, NLP, Pandas, Statistics, Machine Learning"
253,"Reporting, SQL, Excel, Power BI, Data Cleaning"
254,"REST APIs, Spring Boot, Docker, System Design, Git"
255,"Power BI, Tableau, Excel, Data Cleaning, SQL"
256,"User Stories, Stakeholder Management, Agile, Scrum"
257,"Python"
258,"Tableau, Excel, SQL, Reporting, Power BI"
259,"Power BI, SQL, Tableau, Reporting, Excel"
260,"Machine Learning, NLP, SQL, Deep Learning"
261,"Machine Learning, SQL, NLP"
262,"NLP, Machine Learning, SQL, Statistics, Pandas, Deep Learning"
263,"Pandas, Python"
264,"Tableau, Data Cleaning, Reporting, SQL, Excel, Power BI"
265,"System Design, Java, Git"
266,"Tableau"
267,"Product Roadmap, Stakeholder Management, Agile"
268,"User Stories, Scrum, Product Roadmap"
269,"Agile, User Stories"
270,"NLP, Machine Learning, Python, Pandas, SQL"
271,"Python, TensorFlow, Computer Vision"
272,"Spring Boot, Agile, System Design, Git, REST APIs"
273,"PyTorch, Cloud, Keras, TensorFlow, Python, Computer Vision"
274,"Keras, TensorFlow, Computer Vision, Python, Cloud"
275,"REST APIs, Java, Docker"
276,"MLOps, PyTorch, Keras, TensorFlow, Python"
277,"SQL"
278,"Data Cleaning, SQL, Excel"
279,"Cloud, Keras, TensorFlow, MLOps"
280,"Stakeholder Management, Product Roadmap, Agile"
281,"Tableau, Power BI"
282,"MLOps, PyTorch, TensorFlow, Keras, Cloud"
283,"Java, Docker, Git, Agile, System Design, Spring Boot"
284,"Stakeholder Management, Agile"
285,"Scrum, Agile, Stakeholder Management, User Stories"
286,"Data Cleaning, Power BI, SQL, Excel"
287,"Deep Learning, Pandas, Machine Learning, SQL, NLP"
288,"Statistics, Machine Learning"
289,"MLOps, PyTorch, TensorFlow, Cloud"
290,"PyTorch, Keras, TensorFlow, MLOps"
291,"Computer Vision, Keras, TensorFlow, PyTorch"
292,"Agile, User Stories, Stakeholder Management, Scrum, Product Roadmap"
293,"Machine Learning, SQL, NLP, Statistics, Python"
294,"Agile, Stakeholder Management"
295,"SQL, Tableau, Excel, Reporting, Data Cleaning"
296,"Power BI, Reporting, Data Cleaning"
297,"MLOps, Python, Keras, Computer Vision, Cloud"
298,"Cloud, Python, Keras, MLOps, PyTorch"
299,"Data Cleaning, Excel, SQL, Tableau, Power BI"
300,"Agile, REST APIs, System Design, Docker"
301,"Agile, System Design, Docker"
302,"Java, REST APIs, Agile"
303,"Deep Learning, SQL, Machine Learning"
304,"Agile, Product Roadmap, Stakeholder Management, User Stories, Scrum"
305,"System Design, REST APIs, Docker"
306,"Python, Keras"
307,"System Design, Spring Boot, Git, Docker, Java"
308,"Tableau, Data Cleaning, SQL, Reporting"
309,"TensorFlow, Computer Vision, PyTorch"
310,"Power BI, Excel, Tableau"
311,"Deep Learning, Pandas, Machine Learning, NLP"
312,"MLOps, TensorFlow, Python"
313,"Scrum, User Stories, Stakeholder Management, Product Roadmap"
314,"System Design, Java, Docker, Spring Boot, Agile"
315,"Deep Learning, Statistics, Machine Learning, Python, Pandas, SQL"
316,"Machine Learning"
317,"Stakeholder Management, Scrum"
318,"MLOps, PyTorch, Python, Cloud"
319,"Python, Cloud, MLOps"
320,"Scrum, Stakeholder Management, Product Roadmap, User Stories"
321,"Pandas, Deep Learning, Machine Learning, NLP, Python"
322,"Java, Docker"
323,"Machine Learning, Pandas, NLP, Statistics, SQL"
324,"Power BI, Excel, Reporting, Data Cleaning"
325,"Data Cleaning, SQL, Power BI"
326,"Product Roadmap, Stakeholder Management, User Stories, Agile"
327,"Machine Learning, NLP, Pandas, Statistics"
328,"Machine Learning, SQL, Statistics"
329,"Java, System Design, Git, Agile"
330,"TensorFlow, Keras, Computer Vision, Python, Cloud, MLOps"
331,"Product Roadmap, Stakeholder Management"
332,"Excel, SQL, Tableau, Data Cleaning, Power BI"
333,"REST APIs, Docker, Git, System Design"
334,"Machine Learning, Deep Learning"
335,"Tableau, Data Cleaning, Reporting, Excel"
336,"User Stories, Product Roadmap"
337,"Data Cleaning, Excel, Power BI, Reporting, Tableau"
338,"MLOps, Cloud, Computer Vision, Python, TensorFlow, PyTorch"
339,"Machine Learning, Deep Learning, NLP, Pandas, Statistics, SQL"
340,"Python, NLP, SQL, Pandas, Deep Learning"
341,"Machine Learning, NLP, Deep Learning, SQL, Statistics"
342,"Git, REST APIs"
343,"Keras, Computer Vision, TensorFlow, Cloud, PyTorch, Python"
344,"Cloud, Keras, TensorFlow, Computer Vision, MLOps, PyTorch"
345,"Python"
346,"Python, Pandas, NLP, Statistics, SQL"
347,"PyTorch, Python"
348,"User Stories, Agile, Product Roadmap"
349,"Power BI, Reporting, Tableau, Data Cleaning"
350,"Deep Learning, Statistics, Machine Learning, SQL"
351,"Reporting, Tableau"
352,"Keras, TensorFlow, Computer Vision, PyTorch"
353,"Excel, SQL, Data Cleaning, Power BI, Reporting"
354,"Docker, REST APIs, System Design, Java, Agile"
355,"NLP, Statistics, Machine Learning, Pandas"
356,"REST APIs"
357,"REST APIs, Agile, Spring Boot, Java, System Design, Docker"
358,"Agile, Spring Boot, Git, Java"
359,"Power BI, Reporting, SQL, Excel"
360,"Power BI, Data Cleaning, Reporting, Excel"
361,"REST APIs, Spring Boot, Java"
362,"Computer Vision, Keras"
363,"SQL, Tableau, Data Cleaning, Reporting, Power BI"
364,"User Stories, Stakeholder Management"
365,"Tableau, Reporting, Data Cleaning, Excel, Power BI"
366,"Deep Learning, Machine Learning, Statistics, Python, SQL"
367,"SQL, Data Cleaning, Excel, Power BI"
368,"Tableau, Excel"
369,"Stakeholder Management, Product Roadmap, Scrum, Agile, User Stories"
370,"Git, REST APIs, Docker, Spring Boot"
371,"Agile, Product Roadmap, User Stories"
372,"Power BI, Data Cleaning, Excel, Reporting, SQL, Tableau"
373,"Keras, MLOps, Cloud"
374,"SQL, Deep Learning, Python, Statistics, NLP"
375,"SQL, Reporting, Power BI"
376,"Power BI, Data Cleaning, Tableau, SQL, Excel"
377,"System Design, REST APIs, Git, Agile"
378,"Agile, System Design, Java, Git"
379,"Python, Statistics, Machine Learning, Pandas"
380,"MLOps, Keras, Python, PyTorch"
381,"Git, Java, Spring Boot, Docker"
382,"Power BI, Data Cleaning"
383,"Pandas, Deep Learning, NLP, Python, Statistics, Machine Learning"
384,"PyTorch, MLOps"
385,"MLOps, Python, Cloud, Keras, TensorFlow"
386,"User Stories, Scrum, Product Roadmap"
387,"Deep Learning, Statistics, Machine Learning, SQL, Pandas"
388,"Machine Learning, NLP, Pandas, Deep Learning, SQL"
389,"Pandas, Deep Learning"
390,"Scrum, Product Roadmap, Agile, Stakeholder Management"
391,"Deep Learning, SQL, Pandas"
392,"SQL, Machine Learning"
393,"Tableau, Data Cleaning, Reporting"
394,"MLOps, TensorFlow, Computer Vision, Keras, Python"
395,"System Design, Docker, Spring Boot"
396,"Agile, Scrum, User Stories, Product Roadmap"
397,"Excel, Tableau"
398,"NLP, SQL, Deep Learning, Statistics, Pandas"
399,"Python, Deep Learning, Pandas, Statistics"
400,"Java, Docker, Spring Boot, Agile"
401,"Excel, Data Cleaning, Power BI, Tableau"
402,"Reporting, Excel, Data Cleaning, Tableau"
403,"Computer Vision, Python, PyTorch, Keras, Cloud, TensorFlow"
404,"Computer Vision, MLOps, Cloud, Python, Keras"
405,"Docker, REST APIs, Agile, Spring Boot, Java, System Design"
406,"Keras, PyTorch, Computer Vision, Cloud"
407,"TensorFlow, Python, Cloud, Computer Vision"
408,"Agile, User Stories"
409,"Excel, Tableau, Reporting, SQL, Power BI"
410,"Cloud, Computer Vision, Python, MLOps, PyTorch, TensorFlow"
411,"Deep Learning, Python, NLP"
412,"SQL, Statistics, Deep Learning, Machine Learning"
413,"SQL, Python, Machine Learning, Statistics, Pandas, NLP"
414,"Excel, Tableau"
415,"Stakeholder Management, Agile, Scrum, User Stories, Product Roadmap"
416,"NLP, Deep Learning, SQL"
417,"Docker, System Design, REST APIs, Java, Git"
418,"Power BI, Tableau, SQL"
419,"Computer Vision, MLOps, TensorFlow, PyTorch, Python"
420,"Machine Learning, Pandas, NLP, Python, Statistics"
421,"Scrum, User Stories, Agile, Product Roadmap, Stakeholder Management"
422,"SQL, Python, Machine Learning, Statistics, NLP"
423,"Spring Boot, Agile"
424,"Deep Learning, SQL, Statistics, Machine Learning, NLP, Pandas, Python"
425,"Power BI, Tableau, SQL, Reporting"
426,"NLP, Statistics, Deep Learning, Machine Learning"
427,"NLP, Deep Learning, Pandas, Statistics, Machine Learning"
428,"Tableau, Data Cleaning, SQL, Excel, Reporting"
429,"Java, REST APIs, Agile, Docker, System Design"
430,"Agile, Scrum"
431,"TensorFlow, PyTorch, Keras, Python, Computer Vision"
432,"Reporting, SQL, Excel"
433,"Agile, Scrum, Stakeholder Management"
434,"Agile, Product Roadmap, User Stories, Scrum"
435,"Reporting, Power BI, Tableau, Excel"
436,"SQL, Tableau, Excel, Power BI"
437,"Data Cleaning, Tableau, SQL, Power BI"
438,"Machine Learning, Pandas, Python, Statistics, SQL"
439,"Git, Agile"
440,"REST APIs, Java"
441,"User Stories, Scrum, Stakeholder Management"
442,"Deep Learning, Pandas, SQL, Statistics"
443,"Product Roadmap, Stakeholder Management, Agile"
444,"SQL, NLP, Pandas, Machine Learning, Python, Deep Learning"
445,"System Design, Git, REST APIs, Docker, Java, Agile"
446,"TensorFlow, Cloud, PyTorch"
447,"SQL, Reporting, Excel"
448,"NLP"
449,"System Design, REST APIs, Git"
450,"Tableau, Power BI, Excel, Reporting"
451,"Power BI, Tableau, Excel"
452,"User Stories, Product Roadmap, Stakeholder Management"
453,"Python, Machine Learning, SQL, Deep Learning"
454,"Machine Learning, NLP, Python, SQL, Statistics"
455,"NLP, Python, Pandas, SQL"
456,"Cloud, Keras"
457,"Spring Boot, REST APIs, Java, Agile"
458,"User Stories, Agile"
459,"Power BI, Excel, Tableau, Data Cleaning, Reporting"
460,"SQL, Tableau, Excel, Reporting"
461,"Stakeholder Management, Product Roadmap, Agile"
462,"Keras, MLOps, TensorFlow, Computer Vision, Python"
463,"Reporting, SQL, Power BI, Data Cleaning, Excel"
464,"Stakeholder Management, Scrum"
465,"Data Cleaning, Reporting, Excel, Tableau, Power BI, SQL"
466,"Scrum"
467,"Python, Deep Learning, Pandas, Statistics, SQL"
468,"Stakeholder Management, User Stories, Product Roadmap"
469,"REST APIs, Git, Agile, Java, System Design"
470,"Stakeholder Management, User Stories"
471,"Python, PyTorch, MLOps, Cloud, Computer Vision, TensorFlow"
472,"Power BI, Reporting, Tableau"
473,"TensorFlow, MLOps, Cloud, Python, PyTorch"
474,"Docker, Java"
475,"Keras, TensorFlow, Cloud"
476,"Stakeholder Management, Agile, Scrum, Product Roadmap"
477,"MLOps"
478,"Tableau, Power BI, SQL"
479,"Agile"
480,"Scrum, Agile, Product Roadmap, Stakeholder Management, User Stories"
481,"SQL, Python, Deep Learning, Machine Learning, NLP"
482,"MLOps, Keras, Computer Vision, PyTorch, Cloud, Python"
483,"Git, Agile, System Design, Docker"
484,"PyTorch, TensorFlow, MLOps"
485,"SQL, Tableau, Data Cleaning, Power BI"
486,"Agile, Stakeholder Management, Scrum, User Stories, Product Roadmap"
487,"Data Cleaning"
488,"MLOps, Python, Cloud, TensorFlow"
489,"Computer Vision, Python, Cloud, PyTorch, TensorFlow, Keras"
490,"Keras, Computer Vision, Python, PyTorch"
491,"SQL, Statistics, NLP, Pandas"
492,"Statistics, SQL, NLP, Deep Learning, Pandas"
493,"Data Cleaning"
494,"Agile, Scrum"
495,"Keras, Python, TensorFlow"
496,"System Design, Agile, REST APIs"
497,"Excel, Power BI, Reporting, Tableau, Data Cleaning"
498,"REST APIs, Agile, System Design, Git, Docker, Spring Boot"
499,"Agile, Product Roadmap, User Stories, Scrum, Stakeholder Management"
500,"Java, Spring Boot, Docker, System Design, REST APIs"
501,"Docker, REST APIs, Git, Java, System Design"
502,"MLOps, Cloud, PyTorch"
503,"Reporting, Data Cleaning"
504,"User Stories, Agile, Product Roadmap"
505,"SQL, Deep Learning"
506,"Power BI, Data Cleaning"
507,"SQL, Pandas, Python, Machine Learning"
508,"Cloud, PyTorch"
509,"Machine Learning, Pandas, Python, NLP, Statistics"
510,"Git, System Design"
511,"TensorFlow, Keras, Cloud, Python, MLOps, PyTorch"
512,"PyTorch, Keras, Python"
513,"Deep Learning, Python, SQL, Pandas"
514,"Power BI, Reporting, Data Cleaning, SQL"
515,"Statistics, Python, Machine Learning, Pandas, NLP"
516,"Scrum"
517,"SQL, Statistics, NLP, Pandas, Deep Learning"
518,"TensorFlow, Keras, Computer Vision, MLOps, Cloud"
519,"Cloud, MLOps, Computer Vision, PyTorch, TensorFlow"
520,"Python, Deep Learning, NLP, SQL"
521,"Machine Learning, NLP, Deep Learning"
522,"Python, MLOps, PyTorch"
523,"Spring Boot, Agile, Java, Docker, REST APIs, Git"
524,"System Design, Agile, Java"
525,"PyTorch, Computer Vision, Keras, Cloud"
526,"Machine Learning, SQL, Pandas"
527,"Cloud, MLOps, PyTorch, Computer Vision, Python, TensorFlow"
528,"Scrum, Stakeholder Management"
529,"SQL, Statistics, Machine Learning, NLP, Deep Learning"
530,"Python, SQL, Machine Learning, Pandas, NLP"
531,"Statistics, Deep Learning, SQL, Machine Learning, Python"
532,"Java, Agile, Git"
533,"Excel, SQL, Data Cleaning, Power BI, Reporting"
534,"PyTorch, MLOps, Keras, Python, Cloud, Computer Vision"
535,"System Design, Java, Git, Agile"
536,"SQL, Excel, Tableau, Data Cleaning, Reporting, Power BI"
537,"Excel, Reporting, Data Cleaning, Power BI"
538,"Python, PyTorch, TensorFlow, Keras, Computer Vision, MLOps"
539,"Reporting, Tableau, SQL"
540,"Statistics, SQL, Deep Learning, Python"
541,"Cloud, PyTorch, MLOps, Keras"
542,"Cloud, Computer Vision, PyTorch, Python, TensorFlow, MLOps"
543,"Stakeholder Management, User Stories, Agile"
544,"Stakeholder Management, Scrum"
545,"Spring Boot, Agile, Docker, REST APIs"
546,"Keras, Computer Vision, Python"
547,"Excel, Reporting, SQL"
548,"Stakeholder Management"
549,"Spring Boot, REST APIs, Docker, Agile"
550,"SQL, NLP, Statistics"
551,"SQL, Machine Learning, Pandas, Deep Learning, Statistics, NLP"
552,"Product Roadmap, User Stories, Stakeholder Management, Scrum"
553,"Git, Agile, Spring Boot, REST APIs"
554,"Statistics, NLP"
555,"Cloud, TensorFlow, PyTorch, Keras, MLOps"
556,"Computer Vision, PyTorch, Cloud, Keras, Python, MLOps"
557,"SQL, Excel, Tableau, Reporting, Power BI"
558,"Tableau, Excel, Data Cleaning, Power BI, Reporting"
559,"Reporting, SQL, Excel, Power BI, Data Cleaning"
560,"Deep Learning, NLP, Python"
561,"Java, REST APIs, Docker"
562,"Agile, Git, Java, System Design, Docker"
563,"Product Roadmap"
564,"Git, Agile, REST APIs, Java, Spring Boot"
565,"Cloud, TensorFlow, MLOps, Computer Vision, Keras, Python"
566,"Spring Boot, REST APIs"
567,"Tableau, Power BI, Reporting"
568,"Power BI, Data Cleaning, Tableau, Reporting"
569,"SQL"
570,"MLOps, Cloud, PyTorch, TensorFlow, Computer Vision, Keras"
571,"Reporting, Power BI, Excel, Data Cleaning, Tableau, SQL"
572,"Docker, REST APIs, System Design, Spring Boot"
573,"Product Roadmap, Stakeholder Management, Agile"
574,"Docker, Spring Boot, Agile, Git, System Design, REST APIs"
575,"Stakeholder Management, Scrum, User Stories"
576,"Power BI, Tableau, Data Cleaning"
577,"User Stories, Stakeholder Management"
578,"Stakeholder Management, User Stories"
579,"Deep Learning, NLP, Machine Learning, Statistics, Python"
580,"Agile, Git, Docker, Spring Boot, System Design"
581,"Pandas, Deep Learning, SQL, Machine Learning"
582,"Reporting"
583,"Stakeholder Management, User Stories, Agile, Product Roadmap, Scrum"
584,"Python, Cloud"
585,"Data Cleaning, Excel, Tableau"
586,"Python, NLP, Statistics"
587,"Scrum, User Stories, Product Roadmap"
